Date,Price,Open,High,Low,Vol.,Change %
"May 04, 2017",28060,28400,28482,28025,0.08K,-1.79%
"May 05, 2017",28184,28136,28382,28135,0.06K,0.44%
"May 08, 2017",28119,28145,28255,28097,7.85K,-0.23%
"May 09, 2017",27981,28125,28192,27947,10.10K,-0.49%
"May 10, 2017",28007,28060,28146,27981,9.28K,0.09%
"May 11, 2017",28022,27995,28100,27945,9.72K,0.05%
"May 12, 2017",28019,28088,28195,27985,9.48K,-0.01%
"May 15, 2017",28008,28049,28157,27996,8.76K,-0.04%
"May 16, 2017",28109,28025,28159,28025,7.73K,0.36%
"May 17, 2017",28614,28170,28638,28170,15.92K,1.80%
"May 18, 2017",28710,28666,28980,28551,23.80K,0.34%
"May 19, 2017",28634,28660,28779,28531,13.16K,-0.26%
"May 22, 2017",28783,28590,28799,28568,9.31K,0.52%
"May 23, 2017",28808,28804,28930,28740,12.50K,0.09%
"May 24, 2017",28719,28770,28770,28650,8.69K,-0.31%
"May 25, 2017",28638,28769,28770,28600,9.93K,-0.28%
"May 26, 2017",28847,28694,28866,28674,9.52K,0.73%
"May 29, 2017",28874,28843,28928,28807,4.56K,0.09%
"May 30, 2017",28704,28921,28960,28680,9.88K,-0.59%
"May 31, 2017",28905,28683,28950,28628,7.83K,0.70%
"Jun 01, 2017",28749,28877,28877,28712,1.77K,-0.54%
"Jun 02, 2017",28949,28685,29011,28680,0.31K,0.70%
"Jun 05, 2017",29111,29045,29180,29045,0.71K,0.56%
"Jun 06, 2017",29481,29220,29499,29216,11.14K,1.27%
"Jun 07, 2017",29376,29439,29485,29310,9.82K,-0.36%
"Jun 08, 2017",29049,29319,29345,28951,12.95K,-1.11%
"Jun 09, 2017",28938,29001,29009,28836,8.98K,-0.38%
"Jun 12, 2017",28917,28905,28971,28851,7.77K,-0.07%
"Jun 13, 2017",28862,28907,28916,28711,7.71K,-0.19%
"Jun 14, 2017",28946,28890,29025,28802,9.37K,0.29%
"Jun 15, 2017",28686,28890,28890,28640,11.43K,-0.90%
"Jun 16, 2017",28616,28697,28718,28600,6.78K,-0.24%
"Jun 19, 2017",28473,28593,28593,28460,7.55K,-0.50%
"Jun 20, 2017",28475,28470,28530,28420,7.69K,0.01%
"Jun 21, 2017",28495,28539,28575,28403,9.08K,0.07%
"Jun 22, 2017",28557,28530,28670,28519,7.48K,0.22%
"Jun 23, 2017",28648,28596,28782,28596,7.10K,0.32%
"Jun 26, 2017",28426,28302,28440,28264,4.61K,-0.77%
"Jun 27, 2017",28483,28411,28572,28401,7.63K,0.20%
"Jun 28, 2017",28485,28569,28660,28461,7.73K,0.01%
"Jun 29, 2017",28527,28522,28550,28380,7.94K,0.15%
"Jun 30, 2017",28295,28505,28505,28168,8.40K,-0.81%
"Jul 03, 2017",27952,28300,28300,27925,3.24K,-1.21%
"Jul 04, 2017",28043,27956,28169,27956,1.26K,0.33%
"Jul 05, 2017",28051,28120,28155,27845,0.90K,0.03%
"Jul 06, 2017",28143,28200,28237,28111,10.57K,0.33%
"Jul 07, 2017",27812,28101,28140,27754,16.37K,-1.18%
"Jul 10, 2017",27840,27835,27887,27620,13.13K,0.10%
"Jul 11, 2017",27871,27805,27929,27702,11.02K,0.11%
"Jul 12, 2017",27889,27919,28033,27840,10.47K,0.06%
"Jul 13, 2017",27868,27945,27968,27851,7.67K,-0.08%
"Jul 14, 2017",28022,27850,28150,27753,14.38K,0.55%
"Jul 17, 2017",28147,28050,28173,28050,7.52K,0.45%
"Jul 18, 2017",28280,28160,28299,28160,9.35K,0.47%
"Jul 19, 2017",28270,28270,28285,28150,8.47K,-0.04%
"Jul 20, 2017",28345,28220,28380,28155,11.27K,0.27%
"Jul 21, 2017",28541,28333,28559,28300,9.54K,0.69%
"Jul 24, 2017",28530,28531,28612,28480,7.97K,-0.04%
"Jul 25, 2017",28490,28535,28584,28410,11.13K,-0.14%
"Jul 26, 2017",28396,28462,28462,28320,8.09K,-0.33%
"Jul 27, 2017",28477,28455,28613,28376,10.46K,0.29%
"Jul 28, 2017",28596,28533,28620,28405,8.24K,0.42%
"Jul 31, 2017",28588,28572,28628,28510,6.20K,-0.03%
"Aug 01, 2017",28514,28623,28623,28447,2.23K,-0.26%
"Aug 02, 2017",28486,28451,28586,28373,0.58K,-0.10%
"Aug 03, 2017",28447,28400,28500,28299,0.48K,-0.14%
"Aug 04, 2017",28373,28525,28585,28355,0.07K,-0.26%
"Aug 07, 2017",28419,28332,28437,28320,3.95K,0.16%
"Aug 08, 2017",28357,28416,28497,28283,7.40K,-0.22%
"Aug 09, 2017",28800,28415,28821,28415,11.58K,1.56%
"Aug 10, 2017",29130,28845,29173,28845,12.40K,1.15%
"Aug 11, 2017",29158,29147,29300,29032,11.32K,0.10%
"Aug 14, 2017",29042,29100,29116,28982,7.74K,-0.40%
"Aug 16, 2017",28878,28978,28978,28727,10.49K,-0.56%
"Aug 17, 2017",29093,28900,29174,28800,9.73K,0.74%
"Aug 18, 2017",29109,29070,29380,29013,12.43K,0.05%
"Aug 21, 2017",29224,29050,29248,29030,7.42K,0.40%
"Aug 22, 2017",29061,29200,29200,28980,8.75K,-0.56%
"Aug 23, 2017",29090,29063,29148,29023,7.27K,0.10%
"Aug 24, 2017",29021,29051,29107,28980,7.17K,-0.24%
"Aug 25, 2017",29086,29001,29134,28716,7.04K,0.22%
"Aug 28, 2017",29425,29101,29440,29095,9.56K,1.17%
"Aug 29, 2017",29588,29469,29810,29425,11.07K,0.55%
"Aug 30, 2017",29540,29640,29640,29405,8.46K,-0.16%
"Aug 31, 2017",29756,29430,29832,29421,6.94K,0.73%
"Sep 01, 2017",29788,29687,29941,29671,1.15K,0.11%
"Sep 04, 2017",30174,30187,30250,29800,0.27K,1.30%
"Sep 05, 2017",30226,30389,30421,30010,0.19K,0.17%
"Sep 06, 2017",30088,30200,30298,30055,12.40K,-0.46%
"Sep 07, 2017",30287,30050,30348,30010,14.46K,0.66%
"Sep 08, 2017",30271,30350,30470,30221,13.38K,-0.05%
"Sep 11, 2017",29942,30187,30187,29888,12.58K,-1.09%
"Sep 12, 2017",29953,29910,29977,29830,9.39K,0.04%
"Sep 13, 2017",29896,30011,30077,29841,10.61K,-0.19%
"Sep 14, 2017",30020,29831,30059,29775,12.39K,0.41%
"Sep 15, 2017",29869,30063,30096,29840,11.58K,-0.50%
"Sep 18, 2017",29561,29845,29845,29550,10.85K,-1.03%
"Sep 19, 2017",29628,29521,29690,29521,8.11K,0.23%
"Sep 20, 2017",29780,29660,29817,29660,8.42K,0.51%
"Sep 21, 2017",29584,29620,29680,29450,13.18K,-0.66%
"Sep 22, 2017",29608,29660,29767,29586,8.54K,0.08%
"Sep 25, 2017",30065,29580,30150,29525,13.45K,1.54%
"Sep 26, 2017",29885,30129,30195,29802,11.90K,-0.60%
"Sep 27, 2017",29673,29861,29944,29644,10.37K,-0.71%
"Sep 28, 2017",29624,29650,29706,29530,7.99K,-0.17%
"Sep 29, 2017",29549,29615,29740,29430,7.49K,-0.25%
"Oct 03, 2017",29400,29420,29456,29352,1.53K,-0.50%
"Oct 04, 2017",29331,29479,29513,29258,0.23K,-0.23%
